customer_id,company_name,segment,industry,signup_date,signup_cohort,acquisition_channel,plan_tier_initial,initial_seats,initial_mrr
CUST-1053,Apex Network,SMB,Technology,2023-03-03,2023-03,Inbound Marketing,Starter,14,700.0
CUST-1054,Anvil Logic,Mid-Market,Professional Services,2023-03-22,2023-03,Outbound Sales,Growth,18,2160.0
CUST-1055,Halcyon Works,Mid-Market,Education,2023-03-22,2023-03,Self-Serve Promo,Growth,52,6240.0
CUST-1056,Beacon Industries,SMB,Media,2023-03-22,2023-03,Event/Conference,Starter,9,450.0
CUST-1057,Plinth Logic,SMB,Healthcare,2023-04-12,2023-04,Outbound Sales,Starter,5,250.0
CUST-1058,Tessera Logic,SMB,Healthcare,2023-04-05,2023-04,Inbound Marketing,Starter,7,350.0
CUST-1059,Cobalt Partners,Mid-Market,Professional Services,2023-04-09,2023-04,Event/Conference,Growth,61,7320.0
CUST-1060,Marlin Works,SMB,Healthcare,2023-04-21,2023-04,Event/Conference,Starter,14,700.0
CUST-1061,Anvil Works,Mid-Market,Professional Services,2023-04-24,2023-04,Outbound Sales,Growth,45,5400.0
CUST-1062,Anvil Solutions,SMB,Financial Services,2023-04-15,2023-04,Self-Serve Promo,Starter,10,500.0
CUST-1063,Reverb Network,Enterprise,Professional Services,2023-04-22,2023-04,Event/Conference,Scale,220,55000.0
CUST-1064,Marlin Systems,SMB,Financial Services,2023-04-15,2023-04,Inbound Marketing,Starter,15,750.0
CUST-1065,Halcyon Solutions,SMB,Professional Services,2023-04-15,2023-04,Inbound Marketing,Starter,11,550.0
CUST-1066,Quantum Network,SMB,Technology,2023-04-23,2023-04,Inbound Marketing,Growth,13,1560.0
CUST-1067,Helix Industries,SMB,Media,2023-04-21,2023-04,Partner Referral,Starter,14,700.0
CUST-1068,Beacon Partners,Mid-Market,Healthcare,2023-04-22,2023-04,Self-Serve Promo,Growth,35,4200.0
CUST-1069,Halcyon Dynamics,SMB,Financial Services,2023-04-12,2023-04,Outbound Sales,Growth,10,1200.0
CUST-1070,Cobalt Works,SMB,Manufacturing,2023-04-17,2023-04,Event/Conference,Growth,12,1440.0
CUST-1071,Vector Network,Enterprise,Professional Services,2023-04-04,2023-04,Self-Serve Promo,Scale,213,53250.0
CUST-1072,North Works,SMB,Manufacturing,2023-04-15,2023-04,Inbound Marketing,Starter,11,550.0
CUST-1073,North Group,Mid-Market,Retail,2023-04-12,2023-04,Outbound Sales,Growth,34,4080.0
CUST-1074,Glide Industries,Mid-Market,Healthcare,2023-04-02,2023-04,Outbound Sales,Scale,71,17750.0
CUST-1075,Quantum Industries,Mid-Market,Retail,2023-04-18,2023-04,Outbound Sales,Scale,16,4000.0
CUST-1076,Quantum Network,Mid-Market,Education,2023-04-13,2023-04,Outbound Sales,Growth,20,2400.0
CUST-1077,North Labs,SMB,Financial Services,2023-05-01,2023-05,Event/Conference,Starter,14,700.0
CUST-1078,Glide Logic,SMB,Technology,2023-05-08,2023-05,Event/Conference,Starter,3,150.0
CUST-1079,Mosaic Network,Mid-Market,Manufacturing,2023-05-19,2023-05,Event/Conference,Growth,66,7920.0
CUST-1080,Halcyon Partners,SMB,Media,2023-05-15,2023-05,Outbound Sales,Starter,3,150.0
CUST-1081,North Logic,Mid-Market,Technology,2023-05-06,2023-05,Outbound Sales,Growth,18,2160.0
CUST-1082,Marlin Labs,Enterprise,Technology,2023-05-02,2023-05,Partner Referral,Growth,306,36720.0
CUST-1083,Halcyon Systems,Mid-Market,Manufacturing,2023-05-03,2023-05,Self-Serve Promo,Starter,37,1850.0
CUST-1084,Plinth Holdings,SMB,Financial Services,2023-05-24,2023-05,Self-Serve Promo,Starter,15,750.0
CUST-1085,Vector Industries,Mid-Market,Manufacturing,2023-05-19,2023-05,Inbound Marketing,Growth,47,5640.0
CUST-1086,Cobalt Works,SMB,Technology,2023-05-25,2023-05,Inbound Marketing,Starter,15,750.0
CUST-1087,Mosaic Co,SMB,Manufacturing,2023-05-12,2023-05,Outbound Sales,Starter,10,500.0
CUST-1088,Plinth Co,SMB,Healthcare,2023-05-26,2023-05,Inbound Marketing,Starter,11,550.0
CUST-1089,Apex Co,SMB,Healthcare,2023-05-07,2023-05,Inbound Marketing,Starter,4,200.0
CUST-1090,Lattice Logic,Mid-Market,Education,2023-05-17,2023-05,Partner Referral,Growth,49,5880.0
CUST-1091,Reverb Partners,SMB,Education,2023-05-10,2023-05,Inbound Marketing,Starter,9,450.0
CUST-1092,Citron Logic,Mid-Market,Education,2023-05-20,2023-05,Event/Conference,Growth,59,7080.0
CUST-1093,Apex Works,SMB,Education,2023-05-04,2023-05,Event/Conference,Starter,3,150.0
CUST-1094,Helix Solutions,SMB,Healthcare,2023-05-14,2023-05,Outbound Sales,Starter,13,650.0
CUST-1095,Stratus Dynamics,Mid-Market,Media,2023-05-24,2023-05,Outbound Sales,Growth,58,6960.0
CUST-1096,Reverb Works,SMB,Professional Services,2023-05-14,2023-05,Outbound Sales,Starter,4,200.0
CUST-1097,Halcyon Dynamics,Mid-Market,Professional Services,2023-06-20,2023-06,Inbound Marketing,Growth,23,2760.0
CUST-1098,Quantum Industries,SMB,Financial Services,2023-06-13,2023-06,Outbound Sales,Starter,11,550.0
CUST-1099,Mosaic Digital,Mid-Market,Media,2023-06-23,2023-06,Event/Conference,Growth,27,3240.0
CUST-1100,Halcyon Labs,SMB,Manufacturing,2023-06-23,2023-06,Inbound Marketing,Starter,4,200.0
CUST-1101,Anvil Labs,SMB,Media,2023-06-25,2023-06,Outbound Sales,Starter,6,300.0
CUST-1102,Cobalt Labs,SMB,Technology,2023-06-20,2023-06,Inbound Marketing,Starter,6,300.0
CUST-1103,Stratus Industries,SMB,Education,2023-06-18,2023-06,Event/Conference,Starter,10,500.0
CUST-1104,Beacon Digital,SMB,Education,2023-06-24,2023-06,Inbound Marketing,Starter,12,600.0
CUST-1105,Stratus Cloud,SMB,Healthcare,2023-06-14,2023-06,Self-Serve Promo,Growth,7,840.0
CUST-1106,Citron Partners,Mid-Market,Technology,2023-06-23,2023-06,Inbound Marketing,Growth,50,6000.0
CUST-1107,North Group,SMB,Healthcare,2023-06-05,2023-06,Event/Conference,Starter,8,400.0
CUST-1108,Lattice Works,SMB,Retail,2023-06-12,2023-06,Event/Conference,Starter,5,250.0
CUST-1109,Tessera Digital,SMB,Education,2023-06-18,2023-06,Outbound Sales,Growth,9,1080.0
CUST-1110,Tessera Logic,SMB,Professional Services,2023-06-14,2023-06,Self-Serve Promo,Growth,11,1320.0
CUST-1111,Mosaic Holdings,Mid-Market,Media,2023-06-20,2023-06,Event/Conference,Starter,45,2250.0
CUST-1112,Lattice Network,SMB,Media,2023-06-05,2023-06,Event/Conference,Scale,10,2500.0
CUST-1113,Citron Solutions,Mid-Market,Professional Services,2023-06-02,2023-06,Inbound Marketing,Starter,33,1650.0
CUST-1114,Stratus Works,Enterprise,Education,2023-06-07,2023-06,Inbound Marketing,Scale,234,58500.0
CUST-1115,Cobalt Network,SMB,Financial Services,2023-06-25,2023-06,Inbound Marketing,Growth,6,720.0
CUST-1116,Tessera Solutions,SMB,Media,2023-06-26,2023-06,Outbound Sales,Starter,3,150.0
CUST-1117,Beacon Labs,Mid-Market,Professional Services,2023-07-22,2023-07,Event/Conference,Growth,38,4560.0
CUST-1118,Citron Logic,SMB,Media,2023-07-26,2023-07,Event/Conference,Starter,6,300.0
CUST-1119,Vector Logic,SMB,Manufacturing,2023-07-19,2023-07,Inbound Marketing,Growth,10,1200.0
CUST-1120,Plinth Holdings,SMB,Manufacturing,2023-07-20,2023-07,Event/Conference,Starter,14,700.0
CUST-1121,Tessera Group,SMB,Manufacturing,2023-07-03,2023-07,Event/Conference,Starter,11,550.0
CUST-1122,Stratus Partners,Mid-Market,Financial Services,2023-07-21,2023-07,Event/Conference,Growth,58,6960.0
CUST-1123,Apex Dynamics,SMB,Manufacturing,2023-07-17,2023-07,Event/Conference,Growth,12,1440.0
CUST-1124,Apex Group,SMB,Financial Services,2023-07-03,2023-07,Outbound Sales,Starter,14,700.0
CUST-1125,Cobalt Dynamics,SMB,Professional Services,2023-07-10,2023-07,Inbound Marketing,Starter,14,700.0
CUST-1126,Anvil Dynamics,Mid-Market,Financial Services,2023-07-10,2023-07,Inbound Marketing,Growth,73,8760.0
CUST-1127,Helix Co,SMB,Retail,2023-07-21,2023-07,Event/Conference,Starter,15,750.0
CUST-1128,Quantum Group,SMB,Education,2023-07-05,2023-07,Outbound Sales,Starter,11,550.0
CUST-1129,Marlin Holdings,SMB,Education,2023-07-22,2023-07,Inbound Marketing,Growth,10,1200.0
CUST-1130,Anvil Logic,Enterprise,Education,2023-07-19,2023-07,Partner Referral,Scale,230,57500.0
CUST-1131,Lattice Digital,SMB,Education,2023-07-18,2023-07,Inbound Marketing,Starter,8,400.0
CUST-1132,Apex Group,SMB,Technology,2023-07-20,2023-07,Outbound Sales,Growth,9,1080.0
CUST-1133,Mosaic Group,SMB,Technology,2023-07-14,2023-07,Outbound Sales,Starter,6,300.0
CUST-1134,Tessera Holdings,SMB,Financial Services,2023-07-25,2023-07,Inbound Marketing,Starter,3,150.0
CUST-1135,Lattice Works,SMB,Manufacturing,2023-07-01,2023-07,Inbound Marketing,Starter,4,200.0
CUST-1136,Lattice Dynamics,SMB,Manufacturing,2023-07-01,2023-07,Inbound Marketing,Starter,14,700.0
CUST-1137,Plinth Logic,Mid-Market,Professional Services,2023-08-09,2023-08,Event/Conference,Growth,28,3360.0
CUST-1138,Anvil Holdings,SMB,Technology,2023-08-07,2023-08,Outbound Sales,Starter,9,450.0
CUST-1139,Lattice Works,SMB,Technology,2023-08-02,2023-08,Self-Serve Promo,Starter,10,500.0
CUST-1140,Apex Industries,SMB,Retail,2023-08-05,2023-08,Outbound Sales,Starter,14,700.0
CUST-1141,Cobalt Labs,SMB,Healthcare,2023-08-23,2023-08,Inbound Marketing,Starter,11,550.0
CUST-1142,Glide Group,SMB,Healthcare,2023-08-27,2023-08,Outbound Sales,Growth,14,1680.0
CUST-1143,Apex Dynamics,Mid-Market,Media,2023-08-27,2023-08,Inbound Marketing,Growth,70,8400.0
CUST-1144,Helix Partners,SMB,Manufacturing,2023-08-09,2023-08,Self-Serve Promo,Starter,13,650.0
CUST-1145,Beacon Labs,SMB,Media,2023-08-10,2023-08,Outbound Sales,Starter,12,600.0
CUST-1146,Lattice Works,Mid-Market,Professional Services,2023-08-23,2023-08,Self-Serve Promo,Growth,25,3000.0
CUST-1147,Apex Systems,SMB,Education,2023-08-19,2023-08,Outbound Sales,Starter,11,550.0
CUST-1148,Reverb Co,Enterprise,Retail,2023-08-15,2023-08,Outbound Sales,Starter,240,12000.0
CUST-1149,Quantum Co,SMB,Financial Services,2023-08-15,2023-08,Event/Conference,Growth,8,960.0
CUST-1150,Marlin Digital,SMB,Education,2023-08-10,2023-08,Inbound Marketing,Starter,6,300.0
CUST-1151,Glide Logic,SMB,Retail,2023-08-24,2023-08,Inbound Marketing,Starter,14,700.0
CUST-1152,Halcyon Solutions,SMB,Retail,2023-08-15,2023-08,Inbound Marketing,Starter,10,500.0
CUST-1153,Anvil Labs,Mid-Market,Technology,2023-08-14,2023-08,Event/Conference,Growth,71,8520.0
CUST-1154,Anvil Industries,SMB,Manufacturing,2023-08-21,2023-08,Inbound Marketing,Starter,13,650.0
CUST-1155,Tessera Systems,SMB,Professional Services,2023-08-05,2023-08,Outbound Sales,Growth,6,720.0
CUST-1156,Halcyon Industries,Mid-Market,Professional Services,2023-08-24,2023-08,Outbound Sales,Growth,67,8040.0
CUST-1157,Citron Solutions,SMB,Professional Services,2023-09-20,2023-09,Inbound Marketing,Growth,11,1320.0
CUST-1158,Mosaic Partners,SMB,Technology,2023-09-24,2023-09,Event/Conference,Growth,10,1200.0
CUST-1159,Reverb Dynamics,SMB,Education,2023-09-27,2023-09,Self-Serve Promo,Starter,5,250.0
CUST-1160,Plinth Partners,Mid-Market,Retail,2023-09-10,2023-09,Inbound Marketing,Growth,58,6960.0
CUST-1161,Apex Systems,SMB,Healthcare,2023-09-13,2023-09,Partner Referral,Growth,9,1080.0
CUST-1162,Tessera Labs,SMB,Healthcare,2023-09-09,2023-09,Outbound Sales,Starter,7,350.0
CUST-1163,Plinth Cloud,Enterprise,Healthcare,2023-09-21,2023-09,Outbound Sales,Growth,229,27480.0
CUST-1164,Cobalt Holdings,SMB,Healthcare,2023-09-02,2023-09,Outbound Sales,Starter,6,300.0
CUST-1165,Tessera Holdings,SMB,Professional Services,2023-09-18,2023-09,Inbound Marketing,Growth,6,720.0
CUST-1166,Glide Solutions,SMB,Professional Services,2023-09-09,2023-09,Outbound Sales,Growth,4,480.0
CUST-1167,Stratus Works,Enterprise,Professional Services,2023-09-02,2023-09,Event/Conference,Scale,266,66500.0
CUST-1168,Marlin Dynamics,SMB,Retail,2023-09-21,2023-09,Outbound Sales,Growth,6,720.0
CUST-1169,Beacon Co,SMB,Retail,2023-09-24,2023-09,Outbound Sales,Starter,4,200.0
CUST-1170,Halcyon Labs,SMB,Education,2023-09-03,2023-09,Inbound Marketing,Starter,12,600.0
CUST-1171,Halcyon Works,SMB,Manufacturing,2023-09-25,2023-09,Event/Conference,Starter,6,300.0
CUST-1172,Cobalt Systems,Mid-Market,Financial Services,2023-09-02,2023-09,Outbound Sales,Growth,31,3720.0
CUST-1173,Citron Partners,Mid-Market,Media,2023-09-10,2023-09,Event/Conference,Scale,60,15000.0
CUST-1174,Glide Labs,SMB,Education,2023-09-03,2023-09,Outbound Sales,Growth,6,720.0
CUST-1175,Mosaic Holdings,SMB,Healthcare,2023-09-15,2023-09,Inbound Marketing,Starter,8,400.0
CUST-1176,Reverb Systems,SMB,Financial Services,2023-09-23,2023-09,Event/Conference,Starter,4,200.0
CUST-1177,Beacon Works,SMB,Financial Services,2023-10-01,2023-10,Outbound Sales,Starter,14,700.0
CUST-1178,Stratus Partners,SMB,Retail,2023-10-27,2023-10,Partner Referral,Starter,14,700.0
CUST-1179,Beacon Holdings,SMB,Education,2023-10-21,2023-10,Event/Conference,Growth,13,1560.0
CUST-1180,Beacon Labs,Mid-Market,Education,2023-10-26,2023-10,Inbound Marketing,Starter,24,1200.0
CUST-1181,Helix Cloud,SMB,Retail,2023-10-06,2023-10,Self-Serve Promo,Growth,13,1560.0
CUST-1182,Lattice Cloud,SMB,Technology,2023-10-08,2023-10,Outbound Sales,Scale,8,2000.0
CUST-1183,Cobalt Dynamics,SMB,Financial Services,2023-10-18,2023-10,Outbound Sales,Starter,13,650.0
CUST-1184,Marlin Industries,SMB,Retail,2023-10-09,2023-10,Self-Serve Promo,Starter,14,700.0
CUST-1185,Apex Industries,SMB,Professional Services,2023-10-05,2023-10,Event/Conference,Starter,10,500.0
CUST-1186,Halcyon Logic,SMB,Professional Services,2023-10-21,2023-10,Inbound Marketing,Growth,13,1560.0
CUST-1187,Tessera Dynamics,SMB,Media,2023-10-26,2023-10,Partner Referral,Starter,7,350.0
CUST-1188,Citron Solutions,SMB,Professional Services,2023-10-16,2023-10,Inbound Marketing,Growth,12,1440.0
CUST-1189,Cobalt Holdings,SMB,Healthcare,2023-10-12,2023-10,Partner Referral,Starter,12,600.0
CUST-1190,Marlin Group,SMB,Technology,2023-10-20,2023-10,Partner Referral,Starter,4,200.0
CUST-1191,Halcyon Logic,SMB,Professional Services,2023-10-24,2023-10,Outbound Sales,Growth,15,1800.0
CUST-1192,Lattice Logic,SMB,Media,2023-10-08,2023-10,Outbound Sales,Starter,11,550.0
CUST-1193,Halcyon Digital,Mid-Market,Retail,2023-10-19,2023-10,Outbound Sales,Growth,48,5760.0
CUST-1194,Reverb Partners,SMB,Manufacturing,2023-10-20,2023-10,Partner Referral,Starter,10,500.0
CUST-1195,Reverb Co,SMB,Healthcare,2023-10-24,2023-10,Outbound Sales,Starter,12,600.0
CUST-1196,Citron Industries,Mid-Market,Manufacturing,2023-10-24,2023-10,Event/Conference,Growth,42,5040.0
CUST-1197,Reverb Cloud,SMB,Healthcare,2023-10-25,2023-10,Inbound Marketing,Starter,8,400.0
CUST-1198,Halcyon Works,Enterprise,Manufacturing,2023-10-07,2023-10,Self-Serve Promo,Scale,349,87250.0
CUST-1199,Lattice Logic,SMB,Manufacturing,2023-10-08,2023-10,Outbound Sales,Starter,11,550.0
CUST-1200,Glide Partners,SMB,Financial Services,2023-11-08,2023-11,Outbound Sales,Growth,10,1200.0
CUST-1201,Vector Works,SMB,Media,2023-11-23,2023-11,Inbound Marketing,Growth,4,480.0
CUST-1202,Helix Digital,SMB,Financial Services,2023-11-08,2023-11,Inbound Marketing,Scale,13,3250.0
CUST-1203,Marlin Labs,SMB,Professional Services,2023-11-27,2023-11,Partner Referral,Growth,6,720.0
CUST-1204,Marlin Holdings,Mid-Market,Technology,2023-11-07,2023-11,Outbound Sales,Scale,23,5750.0
CUST-1205,Vector Partners,Mid-Market,Healthcare,2023-11-15,2023-11,Outbound Sales,Growth,45,5400.0
CUST-1206,Citron Works,SMB,Technology,2023-11-01,2023-11,Event/Conference,Scale,11,2750.0
CUST-1207,Helix Dynamics,Mid-Market,Financial Services,2023-11-13,2023-11,Event/Conference,Growth,33,3960.0
CUST-1208,Mosaic Cloud,SMB,Education,2023-11-19,2023-11,Inbound Marketing,Growth,3,360.0
CUST-1209,Helix Holdings,SMB,Financial Services,2023-11-22,2023-11,Inbound Marketing,Growth,12,1440.0
CUST-1210,Quantum Group,SMB,Retail,2023-11-09,2023-11,Event/Conference,Starter,14,700.0
CUST-1211,Glide Solutions,SMB,Technology,2023-11-12,2023-11,Outbound Sales,Starter,4,200.0
CUST-1212,Quantum Labs,SMB,Education,2023-11-01,2023-11,Event/Conference,Starter,3,150.0
CUST-1213,Stratus Dynamics,Mid-Market,Retail,2023-11-03,2023-11,Inbound Marketing,Growth,17,2040.0
CUST-1214,Halcyon Solutions,SMB,Manufacturing,2023-11-15,2023-11,Self-Serve Promo,Starter,12,600.0
CUST-1215,Reverb Works,SMB,Education,2023-11-21,2023-11,Outbound Sales,Starter,11,550.0
CUST-1216,Stratus Industries,SMB,Professional Services,2023-11-02,2023-11,Outbound Sales,Growth,4,480.0
CUST-1217,Helix Cloud,SMB,Professional Services,2023-11-11,2023-11,Partner Referral,Starter,14,700.0
CUST-1218,Marlin Digital,Mid-Market,Healthcare,2023-11-13,2023-11,Outbound Sales,Growth,74,8880.0
CUST-1219,Beacon Industries,Mid-Market,Manufacturing,2023-11-23,2023-11,Inbound Marketing,Growth,38,4560.0
CUST-1220,Vector Group,SMB,Manufacturing,2023-11-17,2023-11,Partner Referral,Starter,3,150.0
CUST-1221,Halcyon Logic,Mid-Market,Financial Services,2023-11-11,2023-11,Event/Conference,Growth,24,2880.0
CUST-1222,Apex Dynamics,SMB,Technology,2023-11-23,2023-11,Inbound Marketing,Starter,9,450.0
CUST-1223,Glide Cloud,SMB,Technology,2023-12-05,2023-12,Event/Conference,Starter,13,650.0
CUST-1224,Helix Holdings,SMB,Retail,2023-12-10,2023-12,Event/Conference,Starter,9,450.0
CUST-1225,Stratus Systems,SMB,Technology,2023-12-03,2023-12,Partner Referral,Starter,14,700.0
CUST-1226,Lattice Group,SMB,Healthcare,2023-12-05,2023-12,Outbound Sales,Growth,8,960.0
CUST-1227,Stratus Systems,SMB,Education,2023-12-17,2023-12,Inbound Marketing,Starter,15,750.0
CUST-1228,Quantum Holdings,Mid-Market,Retail,2023-12-02,2023-12,Outbound Sales,Starter,69,3450.0
CUST-1229,Tessera Partners,SMB,Financial Services,2023-12-23,2023-12,Event/Conference,Growth,4,480.0
CUST-1230,Reverb Works,SMB,Retail,2023-12-13,2023-12,Inbound Marketing,Starter,15,750.0
CUST-1231,Citron Holdings,Mid-Market,Healthcare,2023-12-14,2023-12,Outbound Sales,Scale,34,8500.0
CUST-1232,Quantum Industries,SMB,Healthcare,2023-12-13,2023-12,Inbound Marketing,Starter,15,750.0
CUST-1233,Plinth Dynamics,SMB,Media,2023-12-16,2023-12,Outbound Sales,Growth,3,360.0
CUST-1234,Anvil Solutions,SMB,Manufacturing,2023-12-22,2023-12,Partner Referral,Growth,8,960.0
CUST-1235,Lattice Industries,SMB,Healthcare,2023-12-13,2023-12,Inbound Marketing,Starter,7,350.0
CUST-1236,Apex Group,SMB,Financial Services,2023-12-15,2023-12,Inbound Marketing,Starter,10,500.0
CUST-1237,Halcyon Solutions,Mid-Market,Retail,2023-12-16,2023-12,Inbound Marketing,Growth,62,7440.0
CUST-1238,Tessera Digital,Mid-Market,Technology,2023-12-03,2023-12,Event/Conference,Growth,30,3600.0
CUST-1239,Reverb Labs,Mid-Market,Retail,2023-12-16,2023-12,Inbound Marketing,Scale,71,17750.0
CUST-1240,Halcyon Systems,SMB,Education,2023-12-10,2023-12,Inbound Marketing,Starter,3,150.0
CUST-1241,Anvil Group,SMB,Professional Services,2023-12-22,2023-12,Inbound Marketing,Starter,10,500.0
CUST-1242,Quantum Holdings,SMB,Education,2023-12-19,2023-12,Inbound Marketing,Starter,14,700.0
CUST-1243,Mosaic Network,SMB,Education,2024-01-27,2024-01,Inbound Marketing,Growth,3,360.0
CUST-1244,Apex Dynamics,SMB,Education,2024-01-04,2024-01,Event/Conference,Starter,5,250.0
CUST-1245,Anvil Dynamics,SMB,Professional Services,2024-01-17,2024-01,Inbound Marketing,Scale,12,3000.0
CUST-1246,Glide Labs,SMB,Healthcare,2024-01-06,2024-01,Outbound Sales,Growth,7,840.0
CUST-1247,Citron Holdings,SMB,Manufacturing,2024-01-15,2024-01,Event/Conference,Starter,15,750.0
CUST-1248,Marlin Works,SMB,Technology,2024-01-22,2024-01,Partner Referral,Starter,11,550.0
CUST-1249,Plinth Systems,SMB,Manufacturing,2024-01-04,2024-01,Inbound Marketing,Starter,8,400.0
CUST-1250,Mosaic Dynamics,SMB,Professional Services,2024-01-07,2024-01,Event/Conference,Starter,7,350.0
